# (c) 2008-2009, Tomás Oliveira e Silva
#
# See disclaimer in page
#   http://www.ieeta.pt/~tos/hobbies.html
#
# Do not bookmark this page, because its URI may change
# in the future. Instead, bookmark its parent page:
#   http://www.ieeta.pt/~tos/primes.html
#
# pi(x) is the number of primes not larger than x
# li(x) is the principal value of the integral of 1/log between 0 and x
# NdM is the exponential notation for the number N*10^M
#
# Last update made on December 7, 2008

    x                  pi(x)                      li(x)
----- ---------------------- -----------------------------
 1d22  201467286689315906290  201467286691248261498.150...
 2d22  397382840070993192736  397382840073725482356.254...
 3d22  591308502828791273105  591308502831976972920.872...
 4d22  783964159847056303858  783964159852157952242.715...
 5d22  975686344403186930556  975686344406161317638.136...
 6d22 1166671149317708576746 1166671149321358259553.150...
 7d22 1357047080144517060882 1357047080149722276968.433...
 8d22 1546904858094574427441 1546904858098619204959.571...
 9d22 1736311930333612544048 1736311930339431201217.882...
10d22 1925320391606803968923 1925320391614054155138.780...


# li tables generated with keisan.casio and wolframalpha online li calculator
# https://keisan.casio.com/exec/system/1180573428
# https://www.wolframalpha.com/input/?i=li(1e32)
#
# (c) 2020, LingUaan
# Last update made on December 22, 2020

    x                  li(x)
----- ---------------------- -----------------------------
 1d22   201467286691248261498
 1d23   1925320391614054155138
 1d24   18435599767366347775144 
 1d25   176846309399198930392619 
 1d26   1699246750872593033005723 
 1d27   16352460426842189113085405 
 1d28   157589269275974838158399971 
 1d29   1520698109714276717287880527 
 1d30   14692398897720447639079087669 
 1d31   142115097348080932014151407892        // about 10^28 = # of Atoms of a average human 
 1d32   1376110866993766004917522323513 
 1d33   13338384833104449976987996079881 
 1d34   129408626505158942694528690454892
 1d35   1256635328818316477984258713989889 
 1d36   12212914297619365454914525220396542 
 1d37   118788158912168251751964753230428581 
 1d38   1156251261026516898117818363873334558        // primecount --Li x works up to here!
 1d39   11262619405559203146275209663402371851 
 1d40   109778913489828302828088665405117758933 
 1d41   1070720634880035465547951820744285205841 
 1d42   10449550362264587535481840578659988274767 
 1d43   102040046944365910880559853638127086594749 
 1d44   996973504768769817629283320506726210610190 
 1d45   9745982046649286035485484939842898378671094 
 1d46   95320530117476458338551157520563163251369549 
 1d47   932731479347381530211417209857195587640949212 
 1d48   9131187511161416233101953279158691886168452588 
 1d49   89431390658025913831622054471037566314593480942        // casio works up to here with exact results
 1d50   876268031750784168878176862640406870986031109952.012... // about 10^47
 1d51   8589360835536669727427773591549328298350731952393.305... // about 10^48
 1d52   84227651431212736770523425956784380595452649662727.771... // about 10^49 = # of Atoms of the Earth
 1d53   826250939115126482139504103607420880571825571110818.434... // about 10^50
 1d54   8108238404641222142420769863843518654715338384445756.177... // about 10^51
 1d55   79596230541302091358945448247764760723881951328911723.454... // about 10^52
 1d56   781635791105612521243302612032225795271876390084276228.402... // about 10^53
 1d57   7678159151943889725577585166049239088412377307367396000.369... // about 10^54
 1d58   75447626811357797509205579202132704799608826049930483226.023... // about 10^55
 1d59   741592244592971250444822349955871390819813611688243572722.796... // about 10^56
 1d60   7291408921503191900242427108042848947022086124014406920464.627... // about 10^57 = # of Atoms of the sun
 1d61   71710077459903799660365795941413079353070952488878091286713.337... // about 10^58
 1d62   705451848863218155026674370635885235148284404143521393437283.308... // about 10^59
 1d63   6941753536104286170199070049152564563054839450596138598671739.751... // about 10^60
 1d64   68325370840036236212730361069005606471453079065234801846065298.440... // about 10^61
 1d65   672670422208763085589706522716415315766628837939018119470404721.948... // about 10^62
 1d66   6624100103253014187121054396642974580754094318639199125271533080.195... // about 10^63
 1d67   65245791874446401657051298599855339108640436156414848844868120060.156... // about 10^64
 1d68   642800455272869019502858843779166911556766586792373432110631093147.950... // about 10^65
 1d69   6334247266670680835269321311706936863445944497873520963213289563681.621... // about 10^66
 1d70   62431858119480923670741268299935119234996550037596547629190739235241.648... // about 10^67
 1d71   615470556081579719817886757852516380123611790646526829975235941613660.338... // about 10^68
 1d72   6068698293644313592575585924418505328705999139119630050065941116771914.429... // about 10^69
 1d73   59850617572780705713044716965475663207038550478280327706350339519270580.742... // about 10^70
 1d74   590369925942351180246598441929879050225513816797835234201557021193467574.610... // about 10^71
 1d75   5824519295683646177786572637050126049726469273691103746822255073131357268.272... // about 10^72
 1d76   57474352062139661998501504251189046951678685890923518513668315637213545773.688... // about 10^73
 1d77   567236485929083491943875083956622277900238707814069505664750693740519499994.137... // about 10^74
 1d78   5599230359362922146519314669437513570424552663813410051111027460106145109806.527... // about 10^75
 1d79   55279577774037240244323583718439502343528491957197368163340470260588709696701.745... // about 10^76 
 1d80   545847690160265350181633602220537331937822241929210801958279534496396353259368.577... // about 10^77
 1d81   5390721006627119451297849510238080989381771668323219392019706304413864549848583.563... // about 10^78
 1d82   53246266398614268045447158438463949037969894245786051259897135436727249793679776.542... // about 10^79 = # of Atoms of the visible Universe
 1d83   526013342318283588304598517751888652035776187551631714715518373434764510061912928.502... // about 10^80
 1d84   5197183868972979618761422212411459423833652806862854661647273412984610292223799651.701... // about 10^81
 1d85   51357232091860215567713821080214710911528982377933226603496716602042203592512634302.215... // about 10^82
 1d86   507569923640516117688026316925089366004342479378245223873156862595929357377017894212.451... // about 10^83
 1d87   5017062155917853826599873310856180720934713274533186637778179682566141371703293836295.961... // about 10^84
 1d88   49597644479287198875874286919149401962741775900851749890436264286172112674041527035574.758... // about 10^85
 1d89   490376073910871847368249664864755451960101818325788293454112994308915626993213703498502.762... // about 10^86
 1d90   4849007682750760867226671896169185803306276081328504303620330959290661169815351686160845.675... // about 10^87
 1d91   47954638468664217151610773775036545133225904359641740679402779760299443003104837387021723.981... // about 10^88
 1d92   474308960961654921078295870101048937045791547938895678106699877019597873425825685170268608.300... // about 10^89
 1d93   4691847061521064144639072595774162069373992436497870696084073201214058651646960720894677985.461... // about 10^90 = # of Photons of the visible Universe
 1d94   46416999139406763196499695070510882150002412105117527249375642149314832734479034573953699706.420... // about 10^91
 1d95   459261341336616955549499550459060976628864223770544794303549479586924447412359103748847644204.874... // about 10^92
 1d96   4544554261089786018073226521274973720018347288561503242035726443758636906103445463770042609208.415... // about 10^93
 1d97   44974905378684957072401121096503542129660588225211400507174860239473567969178240361522519705381.105... // about 10^94
 1d98   445139163322093919498781412654244644259081814809630392537123008335795240090359685017621977486209.978... // about 10^95
 1d99   4406228179028911222833156095001491551849191859809017812005353489615434424575092985089494294567668.332... // about 10^96
 1d100  43619719871407031590995091132291646115387572117171703030140224030853500384584993091500059589703719.363... // about 10^97
 1d101  431859599069770507736135908616550181522004910808529255583675415104524906888672994950494825066516498.591... // about 10^98
 1d102  4276074188927616512055149869829570464328618329070499870733309161886053766650875931319131073495970026.687... // about 10^99
 1d103  42343815951676369289820592422084489603019011334350597565396379456984180139115060482567834676424768950.176... // about 10^100 = 1 Googol!
 1d104  419349418789928865624506395628236669345979184695203342660747024072371170723116474005260049070285663482.517... // about 10^101
 1d105  4153388864593232918878782685235310108017801081281742117782999929274367258424506440475650537024686534625.037... // about 10^102
